,ID_FACTURA_IESIRE,ID_TIP_FACTURA,ID_PARTENER,ESTE_TVA_INCASARE,ID_VALUTA,CURS,DATA_SCADENTA,VALOARE,VALOARE_TVA,VALOARE_TOTALA,VALOARE_NEINCASATA,ID_PARTENER_ADRESA_DESTINATIE,ID_TARA_DESTINATIE,RAPORTARE_INTRASTAT,PARTENER_TREBUIE_MODIFICAT,DATA_TREBUIE_MODIFICATA,ID_DOCUMENT_PARINTE,LIVRARE_MARFA
249,2156,3,120,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,90.0,251,False,,,,
225,1907,1,82,False,3,4.8100000000000005,2022-09-02,126.72,1.27,127.99,0.0,59.0,189,False,,,1824.0,
265,2198,1,83,False,1,1.0,2022-08-26,3.84,0.72,4.5600000000000005,0.0,60.0,62,False,,,,
318,2376,4,62,True,7,5.1,2022-09-30,0.0,0.0,0.0,0.0,36.0,189,True,,,,
23,416,2,2,False,2,4.0,2022-09-09,0.0,0.0,0.0,0.0,20.0,271,False,,,,
343,2592,1,66,False,5,2.52,2022-10-16,0.0,0.0,0.0,0.0,41.0,189,False,,,,
91,1108,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
201,1672,1,82,False,3,4.8100000000000005,2022-09-15,161.64,7.9,169.54,0.0,59.0,189,False,,,,
166,1608,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
36,547,1,61,False,1,1.0,2022-09-23,0.0,0.0,0.0,0.0,,189,False,,,,
330,2523,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
247,2154,3,120,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,92.0,189,False,,,,
357,2825,1,17,False,1,1.0,2022-12-02,24.5,4.66,29.16,29.16,27.0,189,False,,,,
305,2363,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,38.0,0,True,,,,
286,2326,1,122,False,1,1.0,2022-09-19,825.0,15675.0,16500.0,16500.0,92.0,189,False,,,,
299,2350,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
220,1847,9,78,False,1,0.0,2022-09-20,0.0,0.0,0.0,0.0,55.0,189,False,,,,
141,1255,7,17,True,7,4.0,2022-09-30,14.72,0.15,14.87,14.87,27.0,189,False,,,,
67,749,1,66,False,1,1.0,2022-09-12,0.0,0.0,0.0,0.0,41.0,189,False,,,,
266,2199,1,83,False,1,9.0,2022-09-08,27.94,231.02,258.97,258.97,60.0,62,False,,,,
19,311,17,17,False,29,3.0,2022-09-03,0.0,0.0,0.0,0.0,19.0,268,False,,,,
155,1596,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
151,1592,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
2,29,3,17,True,2,5.0,2022-09-29,0.0,0.0,0.0,0.0,17.0,252,True,,,,
182,1638,1,82,False,3,4.8100000000000005,2022-09-02,16.0,304.0,320.0,320.0,59.0,189,False,,,1637.0,
260,2191,1,66,False,1,5.0,2022-08-02,7.84,1.48,9.32,0.0,,8,False,,,,
295,2346,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
138,1247,7,70,True,1,1.0,2022-09-30,9.0,2.0,5.0,5.0,45.0,189,False,,,,
29,430,1,2,False,2,0.15,2022-09-25,0.0,0.0,0.0,0.0,20.0,274,False,,,,
267,2200,1,66,False,1,5.0,2022-08-02,7.84,1.48,9.32,0.0,,8,False,,,,
120,1211,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,True,,,,
241,2148,3,78,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
40,563,2,62,False,7,8.0,2022-09-23,0.0,0.0,0.0,0.0,37.0,271,False,,,,
124,1215,7,72,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,49.0,189,True,,,,
261,2194,1,83,False,1,9.0,2022-09-08,27.58,5.23,32.82,32.82,60.0,62,False,,,,
112,1181,7,70,True,1,6.0,2022-09-01,0.0,0.0,0.0,0.0,45.0,189,True,,,,
