,ID_FACTURI_IMPORT,ID_VALUTA,ID_PARTENER,ID_PARTENER_ADRESA,ID_GESTIUNE,CURS,DATA_SCADENTA,ID_TIP_ACTIZITIE,ID_CONDITIE_LIVRARE,ID_TIP_TRANSPORT,ID_NATURA_TRANZACTIEI_A,ID_NATURA_TRANZACTIEI_B,DATA_LIVRARE,VALOARE_FARA_TVA,VALOARE_TVA,VALOARE_TOTALA,ID_UTILIZATOR,VALOARE_TOTALA_LEI
35,2580,2,171,132,31,4.9399999999999995,2022-10-14,5,9,,28.0,28.0,2022-10-26 00:00:00,0.0,0.0,0.0,,0.0
46,2867,2,17,27,31,4.92,2022-12-31,2,7,,24.0,24.0,,125.0,23.75,148.75,2.0,731.85
29,1965,16,78,55,29,1.1,2022-08-23,2,7,5.0,25.0,24.0,2022-08-22 00:00:00,0.0,0.0,0.0,,0.0
14,812,16,60,31,5,1.1,2022-06-30,4,6,4.0,21.0,21.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
41,2613,5,66,123,28,2.52,2022-10-28,3,7,4.0,23.0,23.0,2022-10-31 04:00:00,2500.0,475.0,2975.0,2.0,14666.75
25,1707,16,60,31,5,1.1,2022-06-30,4,6,4.0,21.0,21.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
43,2816,2,172,132,28,4.9,2022-11-30,3,7,,26.0,25.0,2022-11-23 02:00:00,121.0,22.99,143.99,2.0,705.55
17,1228,16,60,31,5,1.1,2022-06-30,4,6,4.0,21.0,21.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
16,814,16,60,31,5,1.1,2022-06-30,4,6,4.0,21.0,21.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
31,2480,7,163,123,31,4.95,2022-10-11,4,9,8.0,27.0,27.0,2022-10-27 00:00:00,44.85,3.16,48.01,,237.66
50,2915,2,175,135,31,4.9,2022-12-30,3,6,,24.0,23.0,,25.0,4.75,29.75,,145.77
13,811,16,17,27,23,1.1,2022-06-24,4,6,3.0,28.0,25.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
42,2798,5,175,135,31,2.5300000000000002,2022-10-14,5,9,8.0,28.0,28.0,2022-11-24 02:00:00,16.0,1.44,17.44,2.0,44.12
24,1702,16,60,31,5,1.1,2022-06-30,4,6,4.0,21.0,21.0,2022-06-30 00:00:00,0.0,0.0,0.0,,0.0
45,2848,2,85,62,24,4.92,2022-12-31,1,8,3.0,24.0,22.0,,25.0,4.75,29.75,2.0,146.37
