START_DATE_WEEK,ID_FIRMA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,VENIT,CHELTUIALA,CASHFLOW,TVA IN,TVA OUT
2020-01-06,114,2162,2734,2097,2110,1888,2178,2168,1453,1325,2628,1517,2791,2722,2497,2478,1790,1709,1657,2468,1390,2209375.1500000004,1563293.66,646081.4900000005,419781.2785000001,297025.7954
2020-01-13,114,2080,2727,2129,2159,1771,2147,2208,1436,1312,2631,1436,2740,2637,2561,2488,1761,1639,1618,2484,1339,2215674.3600000003,1352128.72,863545.6400000004,420978.12840000005,256904.45679999999
2020-01-20,114,2122,2665,2066,2088,1777,2105,2238,1444,1358,2564,1526,2739,2636,2589,2491,1800,1600,1532,2446,1333,2182098.5200000005,1328723.3800000001,853375.1400000004,414598.7188000001,252457.44220000002
2020-01-27,114,2041,2647,2029,2154,1860,2180,2115,1434,1303,2535,1550,2795,2736,2559,2535,1846,1680,1595,2459,1308,2226104.369999999,1342825.0399999996,883279.3299999996,422959.83029999986,255136.75759999992
2020-02-03,114,2007,2317,1796,1832,1624,2045,2041,1361,1205,2410,1358,2543,2463,2130,2338,1659,1407,1444,2124,1197,1816926.1,1285328.0600000005,531598.0399999996,345215.95900000003,244212.3314000001
2020-02-10,114,1856,2483,1819,2020,1749,1953,2042,1319,1195,2321,1369,2377,2473,2196,2523,1697,1529,1390,2160,1200,1819576.7399999998,1215014.8299999996,604561.9100000001,345719.5806,230852.81769999993
2020-02-17,114,1943,2469,1763,1865,1663,1832,1951,1213,1152,2238,1338,2624,2522,2333,2406,1615,1461,1458,2247,1183,1824242.6799999995,1224763.0099999998,599479.6699999997,346606.1091999999,232704.97189999995
2020-02-24,114,1769,2512,1957,1755,1751,1866,2076,1375,1283,2416,1371,2489,2453,2182,2428,1701,1402,1386,2309,1111,1781905.29,1192755.2000000002,589150.0899999999,338562.0051,226623.48800000004
2020-03-02,114,2031,2602,2763,2167,1873,2151,2163,1422,1332,2595,1591,2759,2628,2474,2540,1841,1688,1679,2458,1352,2228541.9199999995,1286930.3000000003,941611.6199999992,423422.9647999999,244516.75700000004
2020-03-09,114,2067,2598,2075,2092,1855,2220,2104,1499,1307,2529,1477,2795,2666,2430,2646,1847,1681,1618,2334,1333,2200640.4099999997,1322105.93,878534.4799999997,418121.67789999995,251200.1267
2020-03-16,114,2013,2686,2094,2105,1909,2198,2107,1513,1276,2515,1483,2761,2673,2391,2665,1793,1706,1668,3186,1304,2197480.0700000003,1359198.72,838281.3500000003,417521.21330000006,258247.7568
2020-03-23,114,2423,3306,2621,2702,2309,2880,2707,1943,1702,3199,1873,3409,3482,3112,3296,2437,2186,2094,2951,1664,2070885.7399999998,1638149.51,432736.22999999975,393468.29059999995,311248.4069
2020-03-30,114,2607,3558,2724,2589,2184,2773,2488,2100,1699,3230,1987,3496,3202,3004,3315,2516,1980,2082,2864,1540,2024981.0600000005,1724269.1600000006,300711.8999999999,384746.4014000001,327611.14040000015
2020-04-06,114,2564,3631,2827,2521,2243,2924,2905,1775,1633,3227,1903,3689,3566,3052,3301,2264,2312,2103,3121,1645,2045341.3800000001,1705830.4400000002,339510.93999999994,388614.86220000003,324107.7836
2020-04-13,114,2661,3238,2476,2466,2220,2668,2864,1757,1677,3038,2147,3587,3304,3292,3356,2369,2139,2129,2896,1604,2058865.0600000005,1702179.3800000001,356685.6800000004,391184.3614000001,323414.0822
2020-04-20,114,2548,3300,2541,2679,2283,2874,2731,1999,1676,3115,2239,3633,3160,3026,3682,2394,2242,2005,2944,1864,2041789.96,1684666.54,357123.4199999999,387940.0924,320086.6426
2020-04-27,114,2041,2593,2095,1991,1921,2152,2146,1424,1362,2471,1611,2828,2599,2439,2663,1937,1762,1709,2344,1607,2209610.57,1421905.0099999998,787705.56,419826.0083,270161.9519
2020-05-04,114,1987,2530,2161,2120,1843,2245,2774,1765,1309,2451,1561,2831,2533,2346,2692,1877,1746,1699,2348,1235,2201614.0999999996,1364797.0599999996,836817.04,418306.67899999995,259311.44139999992
2020-05-11,114,1971,2512,2073,1983,1854,2175,2128,1420,1329,2481,1989,2853,2634,2452,2704,1872,1634,1675,2355,1299,2241028.8599999994,1379772.4300000002,861256.4299999992,425795.4833999999,262156.76170000003
2020-05-18,114,1954,2618,2117,2000,1888,2140,2153,1522,1296,2489,1587,3510,2610,2335,2642,1923,1729,1660,2323,1287,2232760.8200000008,1353838.9400000002,878921.8800000006,424224.55580000015,257229.39860000004
2020-05-25,114,2053,2610,2170,2025,1858,2239,2144,1395,1250,2438,1504,2886,2643,2427,3667,1848,1731,1712,2355,1336,2237461.9899999993,1373478.4899999998,863983.4999999995,425117.7780999999,260960.91309999995
2020-06-01,114,1919,2499,2086,1956,1825,2165,2158,1507,1312,2431,1614,2841,2604,3130,2681,1865,1754,1680,3057,1309,2231183.3099999996,1396355.16,834828.1499999997,423924.8288999999,265307.4804
2020-06-08,114,1932,2584,2077,2051,2483,2224,2070,1444,1276,2457,1577,2854,2620,2338,2696,1931,1764,1604,2361,1276,2206742.9600000004,1353488.62,853254.3400000003,419281.1624000001,257162.83780000004
2020-06-15,114,1970,2550,2168,1966,1880,2159,2176,1481,1320,2495,1522,2881,2507,2361,2809,1992,2250,1604,2289,1204,2209182.44,1354409.42,854773.02,419744.66359999997,257337.7898
2020-06-22,114,2045,2466,2208,2023,1916,2245,2130,1430,1638,2476,1524,2792,3284,2287,2719,1873,1739,1642,2365,1298,2199526.3600000003,1371904.7,827621.6600000004,417910.00840000005,260661.89299999998
2020-06-29,114,1924,2541,2110,2058,1844,2257,2174,1435,1241,2433,1623,2787,2479,2262,2827,1872,2327,1642,2395,1298,2221756.5500000003,1364911.85,856844.7000000002,422133.74450000003,259333.2515
2020-07-06,114,2007,2531,2150,1986,1858,2244,2106,1445,1378,2432,1616,2883,2473,2305,2830,1957,1673,1662,2316,1322,2244938.17,1380726.0999999999,864212.0700000001,426538.2523,262337.959
2020-07-13,114,1913,2435,2092,1989,1857,2185,2161,1431,1242,2364,1655,2819,2490,2314,2789,1990,1672,1688,2327,1235,2226132.5900000003,1398821.1499999997,827311.4400000006,422965.19210000004,265776.01849999995
2020-07-20,114,1969,2481,2091,1926,1964,2240,2186,1478,1322,2462,1555,2901,2541,2355,2750,1970,1712,1675,2274,1196,2234375.1899999995,1376520.1099999996,857855.0799999998,424531.2860999999,261538.82089999993
2020-07-27,114,1994,2433,2201,1958,2334,2293,2171,1423,1305,2413,1587,2800,2558,2279,2805,2022,1743,1652,2784,1209,2226987.5000000005,1372054.52,854932.9800000004,423127.6250000001,260690.35880000002
2020-08-03,114,1886,3166,2162,2402,1907,2258,2135,1409,1255,2446,1666,2834,2543,2328,2871,1967,1662,1736,2335,1311,2250739.8899999997,1403099.8800000001,847640.0099999995,427640.5790999999,266588.9772
2020-08-10,114,1968,2468,2175,1968,1941,2202,2056,1476,1236,2374,1631,2839,2549,2270,2792,1994,1799,1680,2384,1175,2210612.6199999996,1360757.8499999999,849854.7699999998,420016.3977999999,258543.99149999997
2020-08-17,114,1908,2494,2220,1893,1887,2221,2841,1522,1365,2403,1667,2958,2572,2243,2849,1964,2218,1720,2358,1207,2230371.599999999,1381358.4100000001,849013.189999999,423770.6039999998,262458.09790000005
2020-08-24,114,1956,2463,2139,1953,2007,2235,2042,1545,1306,2399,1557,2915,3135,2213,2794,1964,1673,1632,2271,1231,2215543.09,1370724.3900000001,844818.6999999997,420953.1871,260437.63410000002
2020-08-31,114,1933,2485,2115,1991,2015,2946,2102,1544,1341,2359,1598,2873,2421,2185,2837,1963,1796,1688,2252,1281,2260861.99,1397319.9600000004,863542.0299999998,429563.77810000005,265490.7924000001
2020-09-07,114,1926,2355,2154,1908,2001,2212,2081,1432,1253,2304,1622,2953,2446,2224,2847,1924,1686,1735,2329,1220,2249442.41,1352456.2799999996,896986.1300000006,427394.0579,256966.69319999992
2020-09-14,114,1974,2347,2232,2007,1988,2275,2080,1739,1368,2295,2216,2870,2512,2271,2869,2021,1786,1696,2332,1201,2249502.6500000004,1386158.23,863344.4200000004,427405.50350000005,263370.0637
2020-09-21,114,1960,2329,2129,1929,1951,2319,2149,1448,1245,2403,1559,2971,2501,2251,2895,2062,1761,1727,2343,1175,2263655.1499999994,1401096.5399999998,862558.6099999996,430094.4784999999,266208.3426
2020-09-28,114,1843,2345,2171,1951,1947,2264,2008,1507,1233,2366,1592,2943,2470,2143,2830,2025,1688,1651,2344,1243,2225044.19,1374669.4300000002,850374.7599999998,422758.3961,261187.19170000002
2020-10-05,114,1946,2358,2212,1944,1965,2309,2006,1535,1245,2965,1579,2853,2459,2730,2950,2024,1712,1753,2258,1227,2236621.38,1389488.3700000003,847133.0099999995,424958.0622,264002.79030000005
2020-10-12,114,1879,3003,2202,1963,1946,2207,2118,1448,1310,2342,1621,2929,2407,2124,2914,1957,1710,1697,2645,1278,2233618.4800000004,1383001.1500000001,850617.3300000003,424387.51120000007,262770.2185
2020-10-19,114,1911,2375,2178,1847,2514,2275,2037,1517,1350,2235,1607,2895,2489,2183,2840,1966,1732,1756,2334,1204,2235041.9,1412234.8499999999,822807.05,424657.961,268324.62149999995
2020-10-26,114,1941,2380,2158,1924,1915,2309,2075,1491,1250,2251,1711,2970,2455,2234,2974,2074,1794,1736,2302,1142,2266690.3999999994,1411591.08,855099.3199999994,430671.1759999999,268202.3052
2020-11-02,114,1876,2340,2211,1956,2050,2270,2122,1555,1344,2314,1683,2950,2449,2161,2859,2015,1760,1709,2314,1543,2242942.2600000002,1389784.2499999998,853158.0100000005,426159.02940000006,264059.00749999995
2020-11-09,114,1894,2293,2198,1825,1952,2220,2104,1560,1330,2300,1703,2972,2457,2171,2870,2106,1774,1661,2345,1214,2249231.8200000003,1404619.3999999997,844612.4200000006,427354.0458000001,266877.6859999999
2020-11-16,114,1863,2364,2252,1883,1986,2260,2079,1454,1345,2202,1593,2927,2426,2150,2944,2123,1741,1736,2306,1237,2252418.35,1376574.0000000007,875844.3499999994,427959.4865,261549.06000000014
2020-11-23,114,1882,2286,2180,2433,1939,2269,2131,1573,1344,2183,1690,2941,2430,2210,3008,2062,1765,1725,2324,1195,2278321.9700000007,1407248.1299999997,871073.840000001,432881.17430000013,267377.14469999995
2020-11-30,114,2175,2935,3107,2509,2359,2944,2734,1921,1622,3058,2213,4014,3062,2804,3897,2523,2361,2324,3109,1521,2089683.53,1732957.4000000004,356726.12999999966,397039.8707,329261.9060000001
2020-12-07,114,2237,2858,2689,2305,2407,2845,2550,1913,1588,2878,2104,3812,2957,2820,3817,2708,2444,2239,2746,1514,2105278.0500000003,1762271.89,343006.1600000004,400002.82950000005,334831.6591
2020-12-14,114,2443,2905,3070,2461,2480,2894,2802,1920,1700,2920,2213,3772,2925,2656,3776,2668,2199,2397,2816,1561,2095591.44,1768412.6600000004,327178.77999999956,398162.3736,335998.4054000001
2020-12-21,114,2306,2845,3101,2345,2745,3236,2747,2085,1652,2958,2129,3923,3234,3001,3848,2508,2428,2054,2914,1459,2124040.7600000002,1789610.1699999997,334430.59000000055,403567.7444,340025.9322999999
2020-12-28,114,2168,2686,2828,2526,2728,2840,2598,1938,1450,2913,2322,3784,3113,2535,3912,2672,2340,2070,2934,1519,2163747.74,1777841.6200000003,385906.1199999999,411112.07060000004,337789.90780000004
2021-01-04,114,1793,2229,2238,1798,1973,2364,2021,1544,1239,2154,1618,2997,2402,2108,2968,2098,1704,1679,2277,1210,2265198.62,1428483.07,836715.55,430387.7378,271411.7833
2021-01-11,114,1780,2239,2244,1818,2069,2322,1998,1530,1311,2279,1725,2995,2361,2050,3001,2129,1789,1768,2220,1166,2300678.170000001,1396732.99,903945.1800000009,437128.85230000014,265379.2681
2021-01-18,114,1879,2271,2264,1918,1939,2218,2094,1519,1210,2255,1670,2910,2459,2832,3037,2162,1757,1715,2210,1101,2265432.1999999997,1399028.07,866404.1299999997,430432.11799999996,265815.3333
2021-01-25,114,1848,2306,2259,1864,1954,2299,2085,1482,1218,2244,1725,2995,2377,2089,3030,2169,1796,1694,2242,1129,2255394.8799999994,1390384.7600000002,865010.1199999992,428525.0271999999,264173.10440000007
2021-02-01,114,1724,2125,2158,1797,1696,2113,1885,1418,1093,2020,1566,2629,2073,1827,2890,1826,1666,1534,2025,1012,1915494.9100000004,1356535.04,558959.8700000003,363944.03290000005,257741.6576
2021-02-08,114,1698,2100,2114,1592,1725,2032,1912,1305,1178,2560,1579,2713,2304,1835,2721,1907,1714,1652,2140,1115,1871384.1999999997,1252255.31,619128.8899999997,355562.99799999996,237928.50890000002
2021-02-15,114,1573,2052,2200,1658,1791,2083,1850,1371,1061,2053,1411,2821,2070,1928,2923,1872,1558,1574,2058,1034,1873770.86,1244065.0999999999,629705.7600000002,356016.4634,236372.36899999998
2021-02-22,114,1629,2059,2042,1694,1656,1986,1973,1365,1055,1937,1495,2775,2156,1953,2683,1912,1671,1434,1895,956,1824220.64,1237467.64,586753.0,346601.9216,235118.8516
2021-03-01,114,1855,2303,2283,1913,1941,2171,2035,1539,1248,2197,1706,2973,2414,2106,2989,2184,1750,1699,2339,1121,2249841.2600000002,1326009.08,923832.1800000002,427469.83940000006,251941.72520000002
2021-03-08,114,1866,2292,2385,1829,2010,2252,2031,1574,1244,2146,1613,2852,2495,2124,3078,2080,1801,1724,2302,1104,2264437.5600000005,1366806.48,897631.0800000005,430243.1364000001,259693.2312
2021-03-15,114,1806,2419,2308,1958,1991,2164,1994,1621,1263,2133,1882,2888,2400,2156,3089,2106,1754,1696,2316,1192,2261703.5799999996,1353765.9899999998,907937.5899999999,429723.68019999994,257215.53809999995
2021-03-22,114,2264,3073,2952,2477,2717,2968,2551,2075,1608,2560,2026,3783,3214,2638,4141,2585,2152,2213,3146,1555,2139160.27,1695253.2199999995,443907.0500000005,406440.4513,322098.1117999999
2021-03-29,114,2508,3082,3026,2470,2454,2557,2544,1866,1584,2963,2034,3646,3179,2810,3668,2690,2204,2137,2962,1424,2094218.1500000001,1755013.4800000002,339204.6699999999,397901.44850000006,333452.56120000005
2021-04-05,114,2329,3056,3076,2711,2534,2733,2543,1832,1688,2956,2026,3517,3408,2966,3577,2776,2071,2056,3018,1423,2126990.9299999997,1757841.16,369149.7699999998,404128.27669999993,333989.82039999997
