,ID_FIRMA,START_DATE_WEEK,VENIT,CHELTUIALA,TVA IN,TVA OUT,CASHFLOW,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,SLOT 7,SLOT 8,SLOT 9,SLOT 10,SLOT 11,SLOT 12,SLOT 13,SLOT 14,SLOT 15,SLOT 16,SLOT 17,SLOT 18,SLOT 19,SLOT 20
0,90,2020-01-06,122081.59,175891.15,14939.13,11079.85,32.26,472.0,459.0,445.0,444.0,444.0,475.0,474.0,484.0,383.0,411.0,392.0,447.0,424.0,459.0,457.0,484.0,460.0,438.0,407.0,423.0
1,90,2020-01-13,122065.59,127785.49,12897.02,12820.38,4057.33,421.0,412.0,404.0,469.0,471.0,466.0,463.0,414.0,386.0,408.0,436.0,441.0,435.0,403.0,395.0,462.0,430.0,405.0,429.0,484.0
2,90,2020-01-20,142375.69,172221.93,12160.88,12633.76,2880.2,444.0,427.0,498.0,409.0,461.0,457.0,449.0,427.0,457.0,433.0,412.0,435.0,412.0,423.0,391.0,460.0,476.0,408.0,480.0,436.0
3,90,2020-01-27,115947.76,157726.05,15590.23,14375.64,118.0,420.0,454.0,445.0,403.0,410.0,408.0,391.0,428.0,390.0,436.0,415.0,416.0,404.0,402.0,407.0,458.0,425.0,470.0,394.0,428.0
4,90,2020-02-03,180003.47,178592.57,13962.39,10713.62,908.09,405.0,460.0,403.0,421.0,402.0,473.0,469.0,406.0,440.0,433.0,411.0,416.0,388.0,375.0,402.0,421.0,420.0,414.0,384.0,472.0
5,90,2020-02-10,132223.64,125953.88,9960.05,11262.06,657.71,400.0,451.0,398.0,414.0,470.0,449.0,428.0,410.0,398.0,373.0,424.0,434.0,424.0,411.0,467.0,422.0,424.0,411.0,447.0,431.0
6,90,2020-02-17,193205.93,168582.71,15671.84,14737.55,1919.3,476.0,431.0,424.0,398.0,452.0,443.0,473.0,391.0,481.0,396.0,406.0,461.0,466.0,461.0,411.0,388.0,394.0,411.0,443.0,470.0
7,90,2020-02-24,160699.17,150433.61,12651.28,16753.71,4461.51,431.0,492.0,406.0,464.0,485.0,387.0,413.0,393.0,421.0,459.0,378.0,466.0,381.0,424.0,466.0,399.0,399.0,421.0,404.0,426.0
8,90,2020-03-02,159652.37,142275.37,15758.22,9977.02,-320.26,410.0,428.0,476.0,450.0,435.0,396.0,470.0,391.0,392.0,494.0,454.0,444.0,421.0,431.0,415.0,395.0,440.0,459.0,430.0,414.0
9,90,2020-03-09,149475.32,156786.25,13963.83,11257.65,7469.79,395.0,466.0,428.0,451.0,438.0,442.0,444.0,448.0,423.0,452.0,421.0,415.0,418.0,424.0,462.0,445.0,397.0,401.0,418.0,433.0
10,90,2020-03-16,143383.49,169525.52,13390.11,9974.95,5840.94,404.0,441.0,461.0,379.0,477.0,443.0,486.0,452.0,427.0,391.0,440.0,450.0,446.0,469.0,390.0,397.0,422.0,391.0,395.0,478.0
11,90,2020-03-23,111922.54,136839.54,11597.16,9338.86,2761.47,423.0,396.0,426.0,410.0,406.0,461.0,395.0,449.0,449.0,398.0,466.0,403.0,457.0,453.0,411.0,428.0,428.0,464.0,474.0,387.0
12,90,2020-03-30,144480.3,130550.91,9472.35,13090.69,-134.56,400.0,396.0,404.0,446.0,390.0,482.0,392.0,397.0,457.0,400.0,398.0,469.0,430.0,475.0,468.0,391.0,459.0,453.0,402.0,471.0
13,90,2020-04-06,111862.54,118775.44,10532.23,14918.42,3719.5,377.0,450.0,459.0,401.0,438.0,477.0,476.0,441.0,404.0,451.0,473.0,434.0,403.0,458.0,446.0,416.0,449.0,386.0,440.0,397.0
14,90,2020-04-13,175989.25,149551.81,13140.05,12080.72,5670.96,415.0,435.0,439.0,436.0,493.0,384.0,481.0,452.0,444.0,403.0,474.0,434.0,412.0,390.0,480.0,459.0,464.0,410.0,456.0,379.0
15,90,2020-04-20,181060.27,142317.37,12326.54,16290.92,-1808.27,431.0,387.0,387.0,417.0,384.0,425.0,453.0,396.0,389.0,399.0,449.0,382.0,402.0,391.0,425.0,442.0,440.0,425.0,392.0,495.0
16,90,2020-04-27,149476.32,119637.25,14127.86,16290.11,-298.53,436.0,464.0,470.0,417.0,426.0,408.0,414.0,428.0,412.0,404.0,459.0,416.0,459.0,391.0,489.0,457.0,482.0,403.0,485.0,437.0
17,90,2020-05-04,182069.08,104212.56,10779.32,16749.3,-2208.72,420.0,427.0,428.0,435.0,446.0,427.0,404.0,417.0,433.0,428.0,398.0,451.0,448.0,447.0,470.0,414.0,403.0,411.0,445.0,396.0
18,90,2020-05-11,131226.83,127812.49,11671.39,10253.53,3600.15,469.0,435.0,424.0,417.0,403.0,400.0,441.0,387.0,394.0,400.0,492.0,426.0,440.0,481.0,461.0,497.0,454.0,403.0,454.0,396.0
19,90,2020-05-18,147451.71,140491.76,10042.74,12087.47,-3025.92,483.0,403.0,411.0,379.0,376.0,387.0,408.0,422.0,450.0,487.0,488.0,462.0,426.0,418.0,464.0,431.0,474.0,458.0,465.0,483.0
20,90,2020-05-25,137318.66,135057.93,11351.87,10621.47,3299.84,449.0,491.0,428.0,467.0,434.0,446.0,434.0,401.0,426.0,476.0,454.0,476.0,418.0,451.0,476.0,478.0,399.0,399.0,439.0,466.0
21,90,2020-06-01,183111.88,131395.71,15840.91,15836.6,-943.36,424.0,424.0,428.0,445.0,380.0,404.0,432.0,409.0,438.0,401.0,406.0,445.0,431.0,393.0,448.0,448.0,399.0,472.0,411.0,400.0
22,90,2020-06-08,154612.34,91512.29,12815.04,13181.12,4009.6,478.0,432.0,484.0,460.0,487.0,409.0,444.0,439.0,480.0,444.0,449.0,428.0,474.0,427.0,491.0,434.0,454.0,461.0,480.0,453.0
23,90,2020-06-15,137331.66,177705.76,8985.74,14372.94,-1092.96,415.0,469.0,378.0,401.0,452.0,482.0,464.0,444.0,444.0,470.0,414.0,479.0,387.0,433.0,416.0,409.0,482.0,461.0,429.0,455.0
24,90,2020-06-22,171888.03,97849.93,15914.97,10712.63,-1447.71,419.0,398.0,468.0,446.0,408.0,413.0,423.0,383.0,477.0,422.0,415.0,441.0,485.0,440.0,435.0,434.0,388.0,420.0,453.0,373.0
25,90,2020-06-29,103752.1,151434.42,13554.24,11074.81,6729.36,412.0,473.0,458.0,429.0,381.0,393.0,444.0,468.0,399.0,415.0,483.0,477.0,422.0,465.0,397.0,460.0,405.0,470.0,468.0,401.0
26,90,2020-07-06,154613.34,145990.59,11347.64,15014.07,2713.67,441.0,420.0,452.0,463.0,409.0,400.0,445.0,377.0,377.0,428.0,433.0,435.0,399.0,459.0,378.0,399.0,472.0,384.0,494.0,376.0
27,90,2020-07-13,163762.59,126043.88,11023.62,9341.56,5205.52,472.0,430.0,417.0,396.0,407.0,423.0,392.0,444.0,424.0,385.0,405.0,433.0,455.0,444.0,466.0,406.0,399.0,401.0,397.0,466.0
28,90,2020-07-20,124137.2,137820.34,15996.76,13547.8,1210.67,426.0,468.0,461.0,465.0,398.0,455.0,459.0,393.0,477.0,410.0,487.0,425.0,439.0,476.0,418.0,439.0,451.0,481.0,450.0,465.0
29,90,2020-07-27,157663.76,160483.47,10696.81,13640.66,2091.83,415.0,455.0,394.0,463.0,420.0,391.0,411.0,440.0,425.0,421.0,482.0,444.0,401.0,478.0,449.0,393.0,461.0,444.0,485.0,388.0
30,90,2020-08-03,107860.32,163200.88,14694.56,15650.43,427.29,415.0,447.0,417.0,493.0,421.0,489.0,411.0,376.0,456.0,483.0,424.0,425.0,438.0,475.0,403.0,412.0,420.0,434.0,408.0,409.0
31,90,2020-08-10,153565.54,164058.69,12411.93,11993.17,-3831.53,397.0,470.0,474.0,489.0,478.0,473.0,419.0,438.0,382.0,482.0,417.0,436.0,395.0,460.0,406.0,455.0,413.0,396.0,413.0,450.0
32,90,2020-08-17,127131.61,111465.0,10529.89,9242.85,6659.71,492.0,446.0,401.0,462.0,420.0,403.0,404.0,465.0,470.0,428.0,420.0,430.0,416.0,422.0,435.0,382.0,482.0,377.0,479.0,377.0
33,90,2020-08-24,127108.61,141439.56,16083.23,14555.97,4229.41,402.0,473.0,435.0,474.0,406.0,401.0,418.0,424.0,412.0,424.0,490.0,398.0,431.0,438.0,453.0,478.0,468.0,458.0,393.0,431.0
34,90,2020-08-31,131219.83,168630.71,12898.55,9336.16,101.75,426.0,451.0,414.0,403.0,469.0,400.0,447.0,440.0,444.0,466.0,465.0,478.0,379.0,401.0,427.0,441.0,417.0,433.0,400.0,436.0
35,90,2020-09-07,171860.03,155933.44,12408.96,11443.83,-3212.4,431.0,445.0,439.0,411.0,379.0,473.0,466.0,478.0,463.0,487.0,482.0,422.0,495.0,423.0,411.0,380.0,460.0,457.0,432.0,419.0
36,90,2020-09-14,180992.27,154135.83,11508.34,16929.8,-526.44,404.0,380.0,449.0,432.0,394.0,385.0,430.0,464.0,447.0,428.0,392.0,422.0,450.0,406.0,382.0,408.0,401.0,436.0,421.0,449.0
37,90,2020-09-21,173937.64,156867.25,15919.02,17757.91,2254.32,428.0,401.0,400.0,491.0,386.0,488.0,469.0,401.0,462.0,455.0,449.0,419.0,409.0,403.0,473.0,449.0,402.0,443.0,477.0,472.0
38,90,2020-09-28,111876.54,142302.37,13964.64,13090.06,-4863.58,380.0,472.0,421.0,471.0,485.0,479.0,409.0,457.0,389.0,475.0,416.0,417.0,470.0,404.0,425.0,395.0,423.0,463.0,414.0,388.0
39,90,2020-10-05,167788.81,126855.69,11184.41,9883.34,595.81,429.0,427.0,456.0,413.0,473.0,440.0,477.0,425.0,444.0,439.0,487.0,472.0,415.0,415.0,395.0,387.0,401.0,375.0,390.0,462.0
40,90,2020-10-12,139326.27,121445.86,13547.85,11076.16,-3220.5,453.0,437.0,442.0,452.0,392.0,433.0,430.0,465.0,473.0,395.0,476.0,445.0,414.0,396.0,403.0,451.0,378.0,423.0,436.0,427.0
41,90,2020-10-19,154567.34,103285.76,9228.51,13458.0,4732.55,455.0,407.0,466.0,403.0,426.0,464.0,461.0,420.0,418.0,437.0,419.0,470.0,454.0,400.0,453.0,387.0,418.0,392.0,389.0,423.0
42,90,2020-10-26,117021.56,135923.74,12244.12,12814.17,-4507.48,473.0,402.0,449.0,481.0,389.0,479.0,480.0,455.0,389.0,401.0,430.0,463.0,427.0,461.0,396.0,415.0,455.0,436.0,391.0,457.0
43,90,2020-11-02,146475.91,158677.86,8166.82,11629.46,4699.76,429.0,454.0,415.0,410.0,375.0,460.0,470.0,422.0,399.0,468.0,452.0,409.0,417.0,485.0,451.0,422.0,463.0,434.0,413.0,438.0
44,90,2020-11-09,201375.37,96098.32,13469.47,18029.48,4224.55,436.0,433.0,383.0,475.0,484.0,428.0,445.0,408.0,423.0,413.0,393.0,476.0,439.0,411.0,474.0,456.0,441.0,483.0,425.0,402.0
45,90,2020-11-16,159683.37,175840.15,13472.89,11073.73,-1203.52,480.0,481.0,396.0,463.0,389.0,461.0,406.0,496.0,431.0,439.0,410.0,443.0,387.0,420.0,406.0,459.0,447.0,475.0,427.0,427.0
46,90,2020-11-23,181088.27,107847.78,15760.11,17941.12,3827.9,396.0,423.0,453.0,452.0,423.0,382.0,453.0,430.0,432.0,397.0,388.0,439.0,439.0,401.0,416.0,400.0,485.0,413.0,491.0,487.0
47,90,2020-11-30,114915.95,167718.91,12243.22,17848.17,-520.12,394.0,430.0,484.0,453.0,449.0,396.0,375.0,398.0,468.0,471.0,386.0,478.0,440.0,488.0,389.0,447.0,423.0,449.0,414.0,477.0
48,90,2020-12-07,170844.22,133202.32,11835.6,17758.63,9619.38,373.0,454.0,452.0,410.0,462.0,431.0,401.0,489.0,435.0,451.0,433.0,466.0,470.0,430.0,394.0,402.0,479.0,421.0,404.0,398.0
49,90,2020-12-14,187160.1,136915.54,8574.35,14184.97,5027.66,451.0,417.0,379.0,456.0,395.0,454.0,444.0,432.0,446.0,485.0,449.0,443.0,396.0,459.0,455.0,462.0,418.0,436.0,458.0,419.0
